Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),1,France,"ArcelorMittal, ifp, Axens, Uetikon, Grassco, brevik, TotalEnergies (T&S)",Capture,2019,,2025,,Planned,2,0.7,0.7,Iron and steel,Unknown/unspecified,,Europe
3D DMX ArcelorMittal and IFPEN Dunkirk 'REUZE',751,France,"ArcelorMittal, Engie, Infinium",CCU,2022,2024,2025,,Planned,1,0.3,0.3,Iron and steel,Use,,Europe
7 Blue Ammonia Facility,1055,Qatar,"QAFCO, thyssenkrupp Uhde/Consolidated Contractors Company (EPC)",Full Chain,2022,2022,2026,,Under construction,,1.5,1.5,Hydrogen or ammonia,Unknown/unspecified,,Middle East
8Rivers H2 (8RH2) (WY),3,United States,"8Rivers, Wyoming Energy Authority",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,North America
Abadi CCS/CCUS,227,Indonesia,"Inpex Masela 65%, Shell (trying to find a buyer for its shares), ITB (feasibility)",Full chain,2018,,2027,,Planned,,2.41,2.41,Natural gas processing/LNG,Unknown/unspecified,,Other Asia Pacific
Ackerman Combined Cycle Plant (MS),975,United States,"Trifecta Renewable Solutions, Tennessee Valley Authority",Capture,2023,,,,Planned,,1.8,1.8,Power and heat,Dedicated storage,Red Hills CO2 storage hub (MS),North America
Acorn CCS phase 1-Capture at St Fergus,7,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",Capture,2016,2024,2028,,Planned,,0.3,0.3,Natural gas processing/LNG,Dedicated storage,Acorn CCS,Europe
Acorn CCS phase 1-T&S,8,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2016,2024,2028,,Planned,1,0.3 - 0.8,0.8,T&S,Dedicated storage,Acorn CCS,Europe
Acorn CCS phase 2,9,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2017,,,,Planned,2,5,5,T&S,Dedicated storage,Acorn CCS,Europe
Acorn H2,10,United Kingdom,"Storegga, Chrysaor, Shell",Capture,2018,,2028,,Planned,,0.4,0.4,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe
Acorn Isle of Grain to Peterhead shipping,1018,United Kingdom,"Acorn, Uniper",Transport,2023,,,,Planned,,2,2,Transport,Dedicated storage,Acorn CCS,Europe
Adams Fork Energy clean ammonia project (WV),1033,United States,"Adams Fork Energy, the Flandreau Santee Sioux Tribe",Capture,2022,2024,,,Planned,,,3.591,Hydrogen or ammonia,Unknown/unspecified,,North America
Adbri Project,11,Australia,"Adbri, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",Capture,2021,,,,Planned,,,,Cement,Dedicated storage,South West Hub Project,Australia and New Zealand
ADM Cedar rapids bioethanol (IA),13,United States,ADM,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
ADM Clinton bioethanol (IA),14,United States,ADM,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
ADM Decatur Campus CO2 Storage Site Expansion (IL),816,United States,ADM,T&S,2022,,2028,,Planned,2,2.95,2.95,T&S,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
ADM Maroa/Forsyth CO2 Storage Site Development (IL),869,United States,ADM,Storage,2023,,2028,,Planned,,3.3,3.3,Storage,Unknown/unspecified,Maroa (IL),North America
ADNOC CO2 storage hub (Phase 2 of fertiglobe pilot),928,United Arab Emirates,ADNOC,Storage,2023,,2030,,Planned,2,5,5,Storage,Dedicated storage,ADNOC CO2 storage hub,Middle East
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),695,United States,Phillips 66,Capture,2021,,,,Planned,,0.19,0.19,Other fuel transformation,Unknown/unspecified,,North America
AEB Amsterdam,1144,Netherlands,AEB Amsterdam,CCU,2021,,2028,,Planned,,0.44,0.44,Power and heat,Use,,Europe
Aemetis CCS (CA),814,United States,Aemetis Carbon Capture (Aemetis),Storage,2021,,2024,,Planned,,1.4 - 2,1.4,Storage,Dedicated storage,Aemetis CCS,North America
Aemetis CCS Keyes facility (CA),15,United States,Aemetis,Capture,2021,,2024,,Planned,,0.2,0.2,Biofuels,Dedicated storage,Aemetis CCS,North America
Aemetis CCS Riverbank facility (CA),16,United States,Aemetis,Capture,2021,,2024,,Planned,,0.2,0.2,Biofuels,Dedicated storage,Aemetis CCS,North America
Air Liquide hydrogen facility Rotterdam,18,Netherlands,"Air Liquide (build, own, operate)",Capture,2012,2023,2026,,Under construction,,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos,Europe
Air Liquide Shanghai Chemical Industry Park (SCIP) decarbonisation (Shanghai),541,People's Republic of China,SCIPIG (Air Liquide),Capture,2022,,2028,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Other Asia Pacific
Air Products for Exxonmobil Botlek Rotterdam refinery,150,Netherlands,"Exxonmobil, Air Products",Capture,2019,2023,2026,,Under construction,,,1.011,Other fuel transformation,Dedicated storage,Porthos,Europe
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),21,United States,"AirCapture, Nutrien",CCU,2022,,,,Planned,,,,DAC,Use,,North America
AirCapture Nuclear DAC at JM Farley Nuclear (AL),22,United States,"Southern Company, Battelle, AirCapture LLC",Capture,2022,,,,Planned,,,,DAC,Dedicated storage,,North America
Airhive Alpha Lab pilot,952,Canada,"Airhive, Deep Sky",CCU,2023,,2024,,Planned,,0.001,0.001,DAC,Use,,North America
Aittaluoto power (Pori),1032,Finland,"RenGas, Pori Energia",CCU,2022,2025,2027,,Planned,,0.1,0.1,Power and heat,Use,,Europe
Aker CC Biomass CHP (unknown facility),1099,Germany,"Aker CC, unknown company",Capture,2023,,,,Planned,,0.25,0.25,Power and heat,Unknown/unspecified,,Europe
Aker CC mineral production (unknown facilities),920,United States,"Aker CC, unknown company",Capture,2023,,,,Planned,,1.5,1.5,Cement,Unknown/unspecified,,North America
Aker CC power plant Europe (unknown facilities),1097,Unknown,"Aker CC, unknown company",Capture,2023,,,,Planned,,14,14,Power and heat,Unknown/unspecified,,Unknown
Aker CC refinery (unknown facility),1103,United States,"Aker CC, unknown company",Capture,2023,,,,Planned,,1.2,1.2,Other fuel transformation,Unknown/unspecified,,North America
Aker CC Swedish energy company (unknown),1100,Sweden,"Aker CC, unknown company",Capture,2023,,,,Planned,,0.2,0.2,Power and heat,Unknown/unspecified,,Europe
Aker CC waste to energy Northern Europe (unknown facility),1102,Unknown,"Aker CC, unknown company",Capture,2024,,,,Planned,,,,Power and heat,Unknown/unspecified,,Europe
Aker CC WtE e-fuels,1098,Finland,"Aker CC, unknown company",CCU,2023,,,,Planned,,0.1,0.1,Power and heat,Use,,Europe
Alaska Railbelt CCS Project (AK),976,United States,University of Alaska Fairbanks,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Alaska Railbelt CCS Project (AK),North America
Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),24,Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021,2025,2027,,Planned,,10,10,T&S,Dedicated storage,Alberta Carbon Grid (ALB),North America
Alberta Carbon Grid (ALB) phase 2,492,Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021,,,,Planned,,10,10,T&S,Dedicated storage,Alberta Carbon Grid (ALB),North America
Alberta Carbon Trunk Line (ACTL) - Edmonton Connector Phase 2,831,Canada,Wolf Midstream,Transport,2023,2023,2024,,Under construction,,7,7,Transport,Dedicated storage,Alberta Carbon Trunk Line (ACTL),North America
Alberta Carbon Trunk Line (ACTL) (ALB),25,Canada,"Wolf Carbon Solutions (Wolf Midstream, Enhance Energy)",Transport,2011,2018,2020,,Operational,,14.6,14.6,Transport,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility,North America
Altalto,1107,United Kingdom,Altalto Immingham Limited,Capture,2021,,,,Planned,,,,Biofuels,Dedicated storage,Northern Endurance Partnership,Europe
Altera Stella Maris CCS Project Phase 2,28,Norway,"Altera, Hoegh LNG, Sevan SSP (FEED), Wintershall Dea ",T&S,2020,,,,Planned,2,3,3,T&S,Dedicated storage,Altera Stella Maris CCS/ Havstjerne ,Europe
Aluminium Bahrain MHI capture,29,Bahrain,"Aluminium Bahrain (Alba), Mitsubishi HI (Feasibility/tech)",Capture,2022,,,,Planned,,,,Other industry,Unknown/unspecified,,Middle East
Aluminium Dunkerque feasibility study,809,France,"EDF, Aluminium Dunkerque, Trimet, Rio Tinto and Fives",Capture,2021,,,,Planned,,0.24,0.24,Other industry,Unknown/unspecified,,Europe
Amager Bakke/Amager Resource Centre (ARC),89,Denmark,"ARC, Babcock & Wilcox, Copenhagen Port",Capture,2020,,2025,,Planned,,0.5,0.5,Power and heat,Dedicated storage,,Europe
ANRAV-CCUS (Devnya plant),560,Bulgaria,"Heidelberg Materials, Petroceltic",Full chain,2022,,2028,,Planned,1,0.8,0.8,Cement,Dedicated storage,,Europe
Antwerp@C CO2 Export Hub phase 1,31,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys and the Port of Antwerp",Transport,2019,2024,2027,,Planned,1,2.5,2.5,Transport,Dedicated storage,Antwerp@C,Europe
Antwerp@C CO2 Export Hub phase 2,585,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys and the Port of Antwerp",Transport,2019,2024,2030,,Planned,2,7.5,7.5,Transport,Dedicated storage,Antwerp@C,Europe
"Appalachian basin storage MoU (OH, PA, WV)",1010,United States,"Battelle, Equinor",Storage,2022,,,,Planned,,,,Storage,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Aramis CCS storage phase 1,32,Netherlands,"TotalEnergies, Shell, EBN, Gasunie, ",Storage,2019,2025,2029,,Planned,1,7.7,7.7,Storage,Dedicated storage,Aramis CCS,Europe
Aramis CCS storage phase 2,33,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",Storage,2019,,2030,,Planned,2,3.1,3.1,Storage,Dedicated storage,Aramis CCS,Europe
Aramis CCS transport phase 1,19,Netherlands,"TotalEnergies, Shell, EBN, Gasunie, ",Transport,2019,2025,2029,,Planned,1,22,22,Transport,Dedicated storage,Aramis CCS,Europe
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,34,Belgium,"ArcelorMittal, LanzaTech, Primetals Technologies, E4tech",CCU,2011,2015,2022,,Operational,,0.125,0.125,Iron and steel,Use,,Europe
Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),582,France,"Arcelor Mittal, Air Liquide",Capture,2020,,,,Planned,2,1 - 2.85,1,Iron and steel,Dedicated storage,,Europe
ARGO waste-to-energy plant,729,Denmark,ARGO,Capture,2021,,2030,,Planned,,,,Power and heat,Unknown/unspecified,,Europe
Aries (LA),881,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2026,,Planned,,10 - 20,10,Storage,Unknown/unspecified,,North America
Arkalon CO2 Compression Facility (KS),35,United States,Conestoga Energy,Full chain,,,2009,,Operational,,0.19 - 0.31,0.31,Biofuels,EOR,,North America
Arthit offshore gas field CCS,36,Thailand,"PTTEP, Honeywell (tech and FEED)",Full chain,2021,,2027,,Planned,,,,Natural gas processing/LNG,Dedicated storage,,Other Asia Pacific
Arun CCS,37,Indonesia,"Carbon Aceh, PEMA (JV)",Storage,2022,,2029,,Planned,,,,Storage,Dedicated storage,Arun CCS,Other Asia Pacific
Ascension Clean Energy (ACE) complex (LA),484,United States,"Clean Hydrogen Works (Joint venture between Denbury Carbon Solutions (ExxonMobil) (T&S), Hafnia (ammonia export), MOL (shipping))",Capture,2022,2024,2027,,Planned,,12,12,Hydrogen or ammonia,Dedicated storage,Denbury Green pipeline /Gemini (LA),North America
Ash Grove Cement Foreman Plant (AR),1129,United States,"Southern States Energy Board, DOE Office of Clean Energy Demonstrations",Full chain,2023,,,,Planned,,1.4,1.4,Cement,Dedicated storage,,North America
Asnæs Power Station,756,Denmark,"Orsted, Aker CC (tech), NCC (construction)",Capture,2022,2023,2026,,Under construction,,0.28,0.28,Power and heat,Dedicated storage,Northern Lights,Europe
Athabasca Banks Carbon Hub (ALB),496,Canada, Vault 44.01 Ltd. and Moraine Initiatives Ltd.,Storage,2022,2024,2027,,Planned,,,,Storage,Dedicated storage,Athabasca Banks Carbon Hub (ALB),North America
Athabasca Leismer project (ALB),607,Canada,"Entropy Inc, Athabasca Oil Corporation",Full chain,2022,,2025,,Planned,,0.44,0.44,Other fuel transformation,Unknown/unspecified,,North America
Atlantic Coast CO2 Emissions Storage Sink (ACCESS) (FL),973,United States,Southern States Energy Board,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Project ACCESS (FL),North America
Atlas Carbon Sequestration Hub Phase 1 (Shell's Polaris Carbon Capture project Shell hub) (ALB),39,Canada,Shell Canada Limited,Full chain,2021,2024,2025,,Planned,1,0.75,0.75,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Atlas Carbon Sequestration Hub Phase 2 (ALB),40,Canada,"Shell Canada Limited, ATCO Energy Solutions, Suncor Energy",T&S,2022,,2025,,Planned,2,9.25,9.25,T&S,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Augusta C2 ,687,Italy-Greece,Buzzi Unicem Spa,Transport,2022,,2029,,Planned,,0.2,0.2,Transport,Dedicated storage,Augusta-C2/Prinos CO2 storage,Europe
Aukra Hydrogen Hub,41,Norway,"Aker Horizons, Shell, CapeOmega",Full chain,2021,2024,2030,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Europe
Avedøre Power Station CCS,42,Denmark,"Orsted, Aker CC (tech)",Capture,2021,2023,2026,,Under construction,1,0.15,0.15,Power and heat,Dedicated storage,Northern Lights,Europe
Avedøre Power Station CCU (Green Fuels for Denmark),757,Denmark,Orsted,CCU,2021,,2026,,Planned,2,,,Power and heat,Use,,Europe
Babcock & Wilcox’s (LA),830,United States,"Babcock & Wilcox’s, CGI Gases (CO2 offtaker, transport), General Hydrogen (H2 offtaker)",Capture,2023,,2026,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Bacton Thames Net Zero,519,United Kingdom,Eni,T&S,2022,2027,2030,,Planned,,5 - 10,10,T&S,Dedicated storage,Bacton Thames Net Zero initiative,Europe
Balikpapan Refinery,43,Indonesia,"Pertamina, Air Liquide",Full chain,2022,,2030,,Planned,,1.4,1.4,Other fuel transformation,Mixed,Kutai Basin CCUS hub,Other Asia Pacific
Banggai ammonia plant Central Sulawesi,342,Indonesia,"JOGMEC, Mitsubishi, PT Panca Amara Utama, ITB, Pertamina",Full chain,2021,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Other Asia Pacific
Baotou Steel (Inner Mongolia) phase 1,1053,People's Republic of China,Baotou Steel Group,Full Chain,2022,2022,2026,,Under construction,1,0.5,0.5,Iron and steel,Unknown/unspecified,,Other Asia Pacific
Baotou Steel (Inner Mongolia) phase 2,1054,People's Republic of China,Baotou Steel Group,Full Chain,2022,2022,2027,,Under construction,2,1.5,1.5,Iron and steel,Unknown/unspecified,,Other Asia Pacific
Bapco MOL CCUS value chain,949,Bahrain,"Bapco energies (storage), MOL (transport)",T&S,2023,,,,Planned,,,,T&S,Dedicated storage,,Middle East
Barents Blue ammonia project Train 1,44,Norway,"Horisont Energi (50%), Fertiberia (50%)",Capture,2021,2024,2028,,Planned,1,1.84 - 2,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe
Barents Blue ammonia project Train 2,45,Norway,"Horisont Energi (50%), Fertiberia (50%)",Capture,2021,,,,Planned,2,1.84 - 2,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe
Barents Blue ammonia project Train 3,46,Norway,"Horisont Energi (50%), Fertiberia (50%)",Capture,2021,,,,Planned,3,1.84 - 2,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe
Barossa and Darwin liquefied natural gas (DLNG) CCUS,47,Australia,"Santos (43.4%), SK E&S, JERA",Capture,2021,2024,2025,,Planned,,2.3,2.3,Natural gas processing/LNG,Dedicated storage,Bayu-Undan field storage hub,Australia and New Zealand
Battle River Carbon Hub (ALB),497,Canada,"Heartland Generation Ltd., Carbon Alpha",Storage,2022,2024,2027,,Planned,,5,5,Storage,Dedicated storage,Battle River Carbon Hub (ALB),North America
Bayou Bend CCS offshore (TX),49,United States,"Chevron (50%), Talos Energy (25% and operator), Equinor (25%)",Storage,2021,,,,Planned,,,,Storage,Dedicated storage,Bayou Bend CCS offshore (TX),North America
Bayu-Undan field storage hub Timor-Leste phase 1,50,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",T&S,2021,2025,2028,,Planned,1,2.3,2.3,T&S,Dedicated storage,Bayu-Undan field storage hub,Australia and New Zealand
Bayu-Undan field storage hub Timor-Leste phase 2,628,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",T&S,2021,2025,,,Planned,2,10,10,T&S,Dedicated storage,Bayu-Undan field storage hub,Australia and New Zealand
Bell Bay Powerfuels project (TAS),1044,Australia,"ABEL Energy, Iberdrola Australia, Johnson Matthey (methanol synthesis), Sungas Renewables (biomass gasifier)",CCU,2020,,2027,,Planned,,,0.411,Power and heat,Use,,Australia and New Zealand
Beremend cement factory,1142,Hungary,DDC,Capture,2023,,2032,,Planned,,0.315,0.315,Cement,Dedicated storage,,Europe
Berrima cement plant (NSW),54,Australia,"Boral, Calix",CCU,2022,,,,Planned,,0.1,0.1,Cement,Use,,Australia and New Zealand
Big spring refinery (TX) pilot,1072,United States,"Delek, Svante",Capture,2024,,2028,,Planned,,0.145,0.145,Other fuel transformation,Unknown/unspecified,,North America
BIGST gas fiels Cluster Heads of Agreement,598,Malaysia,"Petronas, JX Nippon",Full chain,2022,,,,Planned,,,,Natural gas processing/LNG,Dedicated storage,,Other Asia Pacific
BIOFOS Carbon Capture Project ,730,Denmark,BIOFOS,Capture,2021,,2030,,Planned,,,,Power and heat,Unknown/unspecified,,Europe
BIR Waste-to-Energy Bergen,645,Norway,"BIR, Aker CC",Capture,2021,,,,Planned,,0.1,0.1,Power and heat,Unknown/unspecified,,Europe
Blue Bison ATR advanced CCUS system (WY),697,United States,"Tallgrass MLP Operations, LLC (FEED)",Capture,2021,,,,Planned,,1.66,1.66,Hydrogen or ammonia,Unknown/unspecified,,North America
"BlueBonnet Sequestration Hub (Chambers, Liberty, and Jefferson County) (TX)",487,United States,"1PointFive, Oxy low carbon ventures (Occidental)",Storage,2022,,2026,,Planned,,8,8,Storage,Dedicated storage,BlueBonnet sequestration hub,North America
Bonanza BioEnergy CCUS (KS),53,United States,"Conestoga Energy, Gary Climate Solutions Gary Climate Solutions",Full chain,2010,,2012,,Operational,,0.1 - 0.16,0.16,Biofuels,EOR,,North America
Bonaparte CCS Assessment G7-AP,531,Australia,"Inpex (53%), TotalEnergies (26%), Woodside (21%, operator)",Storage,2022,,2028,,Planned,,2,2,Storage,Dedicated storage,,Australia and New Zealand
Borealis Antwerp CCS,55,Belgium,Borealis,Capture,2021,2024,2030,,Planned,,,,Chemicals,Unknown/unspecified,,Europe
Boreong blue hydrogen,57,South Korea,"SK E&S, Air Liquide Engineering and Construction (H2 production and liquefaction), GE Vernova, Korea Midland Power, Santos, etc.",Full chain,2021,,2028,,Planned,,2,2,Hydrogen or ammonia,Dedicated storage,,Other Asia Pacific
Borregaard / SAE (Borg CO2) (2 facilities),56,Norway,"Borg Havn, Borregaard",Capture,2019,,2035,,Planned,,0.15,0.15,Power and heat,Dedicated storage,Northern Lights,Europe
Boundary Dam CCS (SASK),59,Canada,Saskpower,Capture,2008,2011,2014,,Operational,,1,1,Power and heat,EOR,,North America
Bow River Hub (ALB),498,Canada, Inter Pipeline Ltd. and Entropy Inc. ,Storage,2022,,,,Planned,,5,5,Storage,Dedicated storage,Bow River Hub (ALB),North America
BP H2Teesside Phase 1,196,United Kingdom,"BP, ADNOC",Capture,2021,,2027,,Planned,1,1,1,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
BP H2Teesside Phase 2,197,United Kingdom,"BP, ADNOC",Capture,2021,,2030,,Planned,2,1,1,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
Brazeau Carbon Sequestration Hub (ALB),499,Canada, Tidewater Midstream & Infrastructure Ltd.,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Brazeau Carbon Sequestration Hub (ALB),North America
Bridgeport Energy Moonie CCUS Project,60,Australia,Bridgeport Energy Limited,T&S,2018,,2024,,Under construction,,0.12,0.12,T&S,EOR,Bridgeport Energy Moonie CCUS Project,Australia and New Zealand
Broadwing Clean Energy Complex (IL),62,United States,"Warwick, ADM",Capture,2021,2024,2028,,Planned,,2.8,2.8,Power and heat,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
Broceni cement plant,1042,Latvia,"Schwenk's Building Material Group, Capsol (feasibility)",Capture,2024,,2030,,Planned,,0.75,0.75,Cement,Dedicated storage,"CCS Baltic Consortium, Klapeida terminal",Europe
Burns Harbour (IN),691,United States,"Dastur International Inc., ON Clean Energy, Inc., University of Texas,Cleveland-Cliffs Inc.",Capture,2020,,,,Planned,,2.8,2.8,Iron and steel,Unknown/unspecified,,North America
Bushmills Ethanol Atwater (MN),63,United States,"Bushmills Ethanol, Summit Carbon Solutions",Capture,2022,,2024,,Planned,,0.23,0.23,Biofuels,Dedicated storage,Midwest carbon express,North America
Buxton Lime Net Zero,638,United Kingdom,"Tarmac, SigmaRoc",Capture,2022,,,,Planned,,,,Cement,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Buzzi Unicem Augusta cement plant,686,Italy,Buzzi Unicem Spa,Capture,2022,,,,Planned,,0.2,0.2,Cement,Dedicated storage,Augusta-C2/Prinos CO2 storage,Europe
C Zero phase 1,654,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,1,1.2,1.2,Transport,Dedicated storage,C Zero/Nautilus,Europe
C Zero phase 2,655,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,2,1.2,1.2,Transport,Dedicated storage,C Zero/Nautilus,Europe
C Zero phase 3,656,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,3,0.3,0.3,Transport,Dedicated storage,C Zero/Nautilus,Europe
CalCapture (Elk Hills) (CA) ,64,United States,"Next carbon solutions (NextDecade), California Resource Corporation (Carbon TerraVault)",Capture,2019,2024,2026,,Planned,,1.4 - 1.5,1.4,Power and heat,EOR,Carbon TerraVault 1,North America
CalCC Lhoist Air Liquide Lime plant Rety,259,France,"Air Liquide, Lhoist",Capture,2022,,2028,,Planned,,0.61,0.61,Cement,Dedicated storage,D'Artagnan,Europe
Caledonia Clean Energy (previously Captain Clean Energy),65,United Kingdom,Summit Power,Full chain,2012,,2028,,Planned,,3,3,Power and heat,Dedicated storage,,Europe
Callisto Mediterranean CO2 Network phase 1,652,France-Italy,"Air Liquide, Eni and Snam",Transport,2023,,2029,,Planned,1,3.6,3.6,Transport,Dedicated storage,Ravenna CCS,Europe
Callisto Mediterranean CO2 Network phase 2,653,France-Italy,"Air Liquide, Eni and Snam",Transport,2023,,2040,,Planned,2,2.8,2.8,Transport,Dedicated storage,Ravenna CCS,Europe
Calpine Baytown Energy Center (TX),701,United States,"Calpine, Technip Energies, Shell, Zachry Group",Capture,2023,,2028,,Planned,,2,2,Power and heat,Unknown/unspecified,,North America
Calpine Deer Park Energy Center (TX),363,United States,Calpine Texas CCUS Holdings,Capture,2021,,,,Planned,,0.82 - 5,5,Power and heat,Dedicated storage,,North America
Calpine Delta Energy Center (CA),698,United States,"ION Clean Energy, Inc., Calpine",Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,,North America
Calpine Hermiston Power/HERO Basalt CarbonSafe (OR),721,United States,"University of Wyoming, PNNL, 1PointFive, Calpine, Carbfix, Schlumberger",Full chain,2023,,,,Planned,,1.7,1.7,Power and heat,Dedicated storage,,North America
Cameron Parish CO2 hub (LA),864,United States,"CarbonVert, Castex (joint venture)",Storage,2023,,2027,,Planned,,,,Storage,Dedicated storage,,North America
CANstore (CA),972,United States,Electric Power Research Institute,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,CANstore (CA),North America
"Capsol feasibility studies (2 plants, unknown)",844,Unknown,"Capsol, unknown companies",Capture,2023,,,,Planned,,1.5,1.5,Cement,Unknown/unspecified,,Unknown
Carbon America Bridgeport Ethanol (NE),626,United States,Carbon America,Full chain,2022,,,,Planned,,0.175,0.175,Biofuels,Dedicated storage,,North America
Carbon America Sterling ethanol (CO),68,United States,Carbon America,Full chain,2022,2024,2028,,Planned,,0.35,0.35,Biofuels,Dedicated storage,,North America
Carbon America Yuma ethanol (CO),69,United States,Carbon America,Full chain,2022,2024,2028,,Planned,,,,Biofuels,Dedicated storage,,North America
Carbon Capture at Corn-processing complex (NE),627,United States,ADM,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,Eastern Wyoming Sequestration Hub (WY),North America
Carbon Capture on Air Liquide US Gulf Coast Steam Methane Reformer Using the CryocapTM FG Process (TX),748,United States,"Dastur International Inc., Air Liquide,University of Texas at Austin’s Bureau of Economic Geology",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Carbon Capture Retrofit at Sherman Generating Station (TX),699,United States,"Bechtel National, Inc.",Capture,2019,,,,Planned,,,,Power and heat,Unknown/unspecified,,North America
Carbon Clean CEMEX Rudersdorf plant phase 1,539,Germany,"CEMEX, carbon clean, KBR(FEED)",CCU,2021,,2026,,Planned,1,0.11,0.11,Cement,Use,,Europe
Carbon Clean CEMEX Rudersdorf plant phase 2,540,Germany,"CEMEX, carbon clean",CCU,2021,,,,Planned,2,0.584,0.584,Cement,Use,,Europe
Carbon reduced Ammonia plant St Rose (LA),836,United States,St. Charles Clean Fuels (Copenhagen Infrastructure Partners and Sustainable Fuels Group),Full chain,2023,2024,2027,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Carbon Storage Complex Southeastern Michigan (MI),714,United States,"Battelle Memorial Institute, DTE Energy",Storage,2023,,,,Planned,,,2.1,Storage,Dedicated storage,Carbon Storage Complex Southeastern Michigan (MI),North America
Carbon TerraVault 1: Lone Cypress Hydrogen project (CA),599,United States,"Lone Cypress Energy services, California Resources Corporation (Carbon TerraVault)",Capture,2022,2024,2025,,Planned,,0.1,0.1,Hydrogen or ammonia,EOR,Carbon TerraVault 1,North America
Carbon TerraVault 2 (CA),892,United States,Carbon TerraVault Holdings LLC ,Storage,2022,2025,,,Planned,,,,Storage,Dedicated storage,Carbon TerraVault 2,North America
Carbon TerraVault 3 (CA),893,United States,"Carbon TerraVault Holdings LLC, Colorado School of Mines",Storage,2022,2025,,,Planned,,0.37,0.37,Storage,Dedicated storage,Carbon TerraVault 3,North America
Carbon TerraVault 4 (CA),894,United States,Carbon TerraVault Holdings LLC ,Storage,2023,2025,,,Planned,,0.04,0.04,Storage,Dedicated storage,Carbon TerraVault 4,North America
Carbon TerraVault 5 (CA),895,United States,Carbon TerraVault Holdings LLC ,Storage,2023,2025,,,Planned,,1,1,Storage,Dedicated storage,Carbon TerraVault 5,North America
